grid_num,param_name,total_return,annualized_return,annualized_sharpe,annualized_ir,average_holding_period,max_holding_amount
48,**Pos: b_bands || z **Neg: rsi_x,150.5786747539599,11.31172915369567,2.382788001576411,-14.971575062628844,153.83564356435645,414
21,**Pos: b_bands **Neg: z,17.76207259214605,3.3315208174665454,1.3730133964405873,-6.031498452314514,190.97821782178218,457
3,**Pos: b_bands,17.76207259214605,3.3315208174665454,1.3730133964405873,-6.031498452314514,190.97821782178218,457
49,**Pos: b_bands **Neg: rsi_x || z,16.528681384758105,3.1867268103804083,1.414061806643723,-6.488094145476092,189.76633663366337,457
16,**Pos: b_bands **Neg: rsi_x,16.528681384758105,3.1867268103804083,1.414061806643723,-6.488094145476092,189.76633663366337,457
41,**Pos: b_bands || z **Neg: macd_x,14.961416781358608,2.995174186610467,2.0213844138200883,-3.1920057161006716,232.76435643564358,467
60,**Pos: b_bands || z **Neg: macd_x || rsi_x,12.808915982351342,2.7160349813142695,1.8306566724144442,-6.82801297565714,204.14653465346535,465
29,**Pos: b_bands **Neg: macd_x || rsi_x,8.103387493409667,2.0171820451225124,1.634619647637858,-7.274319142057034,198.4257425742574,458
10,**Pos: b_bands **Neg: macd_x,7.7251515158300625,1.9538367449522434,1.607689871852901,-6.973078409759786,201.03960396039605,458
42,**Pos: b_bands **Neg: macd_x || z,6.9106848027687295,1.8125939633670427,1.5633372718637562,-6.540156164107811,200.96633663366336,458
22,**Pos: z **Neg: b_bands,6.114863271637831,1.667370103985915,1.435238891728062,-12.278244887231473,272.9306930693069,444
4,**Pos: z,6.114863271637831,1.667370103985915,1.435238891728062,-12.278244887231473,272.9306930693069,444
36,**Pos: z **Neg: macd_x || rsi_x,5.982572425963233,1.6424557566709104,1.7348578811512758,-7.942930296239986,215.45742574257426,466
19,**Pos: z **Neg: rsi_x,5.877745017615795,1.6225455225059098,1.477512381328425,-17.350042956805243,214.22772277227722,350
43,**Pos: z **Neg: macd_x || b_bands,5.72486729200324,1.5932349087584101,1.8670149708945973,-4.372802622665561,242.95643564356436,467
13,**Pos: z **Neg: macd_x,5.72486729200324,1.5932349087584101,1.8697000475497705,-4.364701079281943,242.95643564356436,467
57,**Pos: rsi_x || b_bands || z **Neg: macd_x,4.0021320459296,1.236544666652021,1.6962506516127462,-4.5526769963139735,244.33663366336634,444
7,**Pos: rsi_x **Neg: macd_x,4.0021320459296,1.236544666652021,1.6962506516127462,-4.5526769963139735,244.33663366336634,444
50,**Pos: z **Neg: rsi_x || b_bands,3.9372910421277463,1.2220015846366419,1.4369903261555406,-11.260629303201709,222.25544554455445,367
27,**Pos: rsi_x || b_bands **Neg: macd_x,3.4811258513297156,1.1168669895224204,1.378491356051106,-14.38827569219351,234.20990099009902,440
35,**Pos: rsi_x **Neg: macd_x || z,3.4811258513297156,1.1168669895224204,1.378491356051106,-14.38827569219351,234.20990099009902,440
58,**Pos: rsi_x || b_bands **Neg: macd_x || z,3.246994685295753,1.0608237880264664,1.394363976910719,-12.694273537131508,228.00396039603962,441
2,**Pos: rsi_x,3.186204876677462,1.0460217195028654,,,302.0930693069307,424
11,**Pos: macd_x || z,3.185174138426033,1.0457698156014605,1.4214520145719651,-7.998862818841942,265.9524752475248,440
9,**Pos: macd_x **Neg: b_bands,3.185174138426033,1.0457698156014605,1.4214520145719651,-7.998862818841942,265.9524752475248,440
39,**Pos: macd_x || z **Neg: b_bands,3.066258041131415,1.0164964768457732,1.419039383000865,-8.002624503239726,266.1089108910891,438
54,**Pos: macd_x || b_bands || z **Neg: rsi_x,3.0401453652459183,1.0100112848553655,1.6843707682425952,-6.377488498796004,220.4970297029703,460
6,**Pos: macd_x **Neg: rsi_x,3.0401453652459183,1.0100112848553655,1.6843707682425952,-6.377488498796004,220.4970297029703,460
59,**Pos: rsi_x || z **Neg: macd_x || b_bands,3.0215571196776185,1.0053820383352443,1.706952052253711,-4.760128049484221,247.53861386138612,451
34,**Pos: rsi_x || z **Neg: macd_x,3.0215571196776185,1.0053820383352443,1.7076717196450457,-4.758916290349608,247.54257425742574,451
28,**Pos: rsi_x **Neg: macd_x || b_bands,3.0215571196776185,1.0053820383352443,1.7076717196450457,-4.758916290349608,247.54257425742574,451
32,**Pos: macd_x || z **Neg: rsi_x,2.8922627941545755,0.9728818500241152,1.418470953436084,-9.516719731668346,233.14257425742574,415
26,**Pos: macd_x **Neg: rsi_x || b_bands,2.8922627941545755,0.9728818500241152,1.418470953436084,-9.516719731668346,233.14257425742574,415
40,**Pos: macd_x **Neg: b_bands || z,2.8362221193148596,0.9586276111897483,,,228.67920792079207,460
1,**Pos: macd_x,2.8362221193148596,0.9586276111897483,,,228.67920792079207,460
37,**Pos: macd_x || b_bands || z,2.8362221193148596,0.9586276111897483,,,228.67920792079207,460
44,**Pos: rsi_x || b_bands || z,2.724798030535323,0.9299735828594451,1.4218359488010959,-37.390150567298804,303.1465346534653,424
47,**Pos: rsi_x **Neg: b_bands || z,2.724798030535323,0.9299735828594451,1.4218359488010959,-37.390150567298804,303.1465346534653,424
45,**Pos: rsi_x || b_bands **Neg: z,2.4572939448810245,0.8593799893730771,1.155778933939564,-26.326090742417982,244.1089108910891,419
14,**Pos: rsi_x || b_bands,2.2815185613296616,0.8114962217265764,1.2312543727347098,-32.88645034750706,251.56633663366335,391
18,**Pos: rsi_x **Neg: z,2.2815185613296616,0.8114962217265764,1.2312543727347098,-32.88645034750706,251.56633663366335,391
56,**Pos: macd_x || z **Neg: rsi_x || b_bands,2.2228857514795988,0.795239747632499,1.5220594829944993,-7.142527603945494,239.54257425742574,416
33,**Pos: macd_x **Neg: rsi_x || z,2.028660419664491,0.7403046916171006,1.650701384746382,-6.322884476414487,220.0,461
25,**Pos: macd_x || b_bands **Neg: rsi_x,2.028660419664491,0.7403046916171006,1.650701384746382,-6.322884476414487,220.0,461
55,**Pos: macd_x || b_bands **Neg: rsi_x || z,2.028660419664491,0.7403046916171006,1.6504743654472176,-6.3267631607627415,220.0079207920792,461
8,**Pos: macd_x || b_bands,1.817385484584698,0.6785069212203738,,,224.1089108910891,461
12,**Pos: macd_x **Neg: z,1.817385484584698,0.6785069212203738,,,224.1089108910891,461
38,**Pos: macd_x || b_bands **Neg: z,1.817385484584698,0.6785069212203738,,,224.11881188118812,461
17,**Pos: rsi_x || z,1.5571921134824205,0.5991222947237089,1.051922002238117,-13.415884488278294,276.5980198019802,448
15,**Pos: rsi_x **Neg: b_bands,1.5571921134824205,0.5991222947237089,1.051922002238117,-13.415884488278294,276.5980198019802,448
46,**Pos: rsi_x || z **Neg: b_bands,1.5571921134824205,0.5991222947237089,1.051922002238117,-13.415884488278294,276.5980198019802,448
24,**Pos: macd_x || rsi_x **Neg: b_bands,1.4983565629707791,0.5806190442262738,1.2731078298281673,-8.343188929976185,269.14455445544553,440
30,**Pos: macd_x || rsi_x || z,1.4983565629707791,0.5806190442262738,1.2731078298281673,-8.343188929976185,269.14455445544553,440
52,**Pos: macd_x || rsi_x || z **Neg: b_bands,1.4632475582373692,0.5694736564330634,1.2732294693777755,-8.340819440443818,269.2158415841584,438
53,**Pos: macd_x || rsi_x **Neg: b_bands || z,1.139971857824787,0.4628642650036905,1.4151388543405123,-6.497503401525317,260.8237623762376,443
5,**Pos: macd_x || rsi_x,1.139971857824787,0.4628642650036905,1.4151388543405123,-6.497503401525317,260.8237623762376,443
23,**Pos: macd_x || rsi_x || b_bands,1.1083064534662657,0.45200084485728365,1.475720962850838,-5.1756745739505945,252.07326732673266,430
51,**Pos: macd_x || rsi_x || b_bands **Neg: z,1.1083064534662657,0.45200084485728365,1.440970341580865,-4.661614274575217,249.47722772277228,441
31,**Pos: macd_x || rsi_x **Neg: z,1.1083064534662657,0.45200084485728365,1.475720962850838,-5.1756745739505945,252.07326732673266,430
20,**Pos: b_bands || z,0.0,0.0,,,0.0,0
